Room,2015,8.1,Drama,Lenny Abrahamson,https://www.imdb.com/title/tt3170832/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_205
title,year,rating,genero,diretor,url
The Big Lebowski,1998,8.1,Comedy,Joel Coen,https://www.imdb.com/title/tt0118715/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_206
title,year,rating,genero,diretor,url
Dead Poets Society,1989,8.1,Comedy,Peter Weir,https://www.imdb.com/title/tt0097165/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_204
title,year,rating,genero,diretor,url
Jaws,1975,8.1,Adventure,Steven Spielberg,https://www.imdb.com/title/tt0073195/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_203
title,year,rating,genero,diretor,url
"Monsters, Inc.",2001,8.1,Animation,Pete Docter,https://www.imdb.com/title/tt0198781/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_202
title,year,rating,genero,diretor,url
How to Train Your Dragon,2010,8.1,Animation,Dean DeBlois,https://www.imdb.com/title/tt0892769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_201
title,year,rating,genero,diretor,url
The Seventh Seal,1957,8.1,Drama,Ingmar Bergman,https://www.imdb.com/title/tt0050976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_200
title,year,rating,genero,diretor,url
Mad Max: Fury Road,2015,8.1,Action,George Miller,https://www.imdb.com/title/tt1392190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_198
title,year,rating,genero,diretor,url
Mary and Max,2009,8.1,Animation,Adam Elliot,https://www.imdb.com/title/tt0978762/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_199
title,year,rating,genero,diretor,url
Mr. Smith Goes to Washington,1939,8.1,Comedy,Frank Capra,https://www.imdb.com/title/tt0031679/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_197
title,year,rating,genero,diretor,url
Wild Tales,2014,8.1,Comedy,Damián Szifron,https://www.imdb.com/title/tt3011894/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_196
title,year,rating,genero,diretor,url
